"Time","all.datatransfer.all","all.request.count","cluster.node_count","cluster.node_cpu_count","current_operation","environment","fail.datatransfer.all","fail.datatransfer.max","fail.datatransfer.mean","fail.datatransfer.min","fail.datatransfer.percent50","fail.datatransfer.percent75","fail.datatransfer.percent95","fail.datatransfer.percent99","fail.latency.max","fail.latency.mean","fail.latency.min","fail.latency.percent50","fail.latency.percent75","fail.latency.percent95","fail.latency.percent99","fail.latency.stddev","fail.request.count","fail.request.rps","latency_count.less_or_eq_800","latency_count.more_800_less_1200","latency_count.more_or_eq_1200","node_type","ok.datatransfer.all","ok.datatransfer.max","ok.datatransfer.mean","ok.datatransfer.min","ok.datatransfer.percent50","ok.datatransfer.percent75","ok.datatransfer.percent95","ok.datatransfer.percent99","ok.latency.max","ok.latency.mean","ok.latency.min","ok.latency.percent50","ok.latency.percent75","ok.latency.percent95","ok.latency.percent99","ok.latency.stddev","ok.request.count","ok.request.rps","scenario","session_id","simulation.value","status_code.count","status_code.status","step","test_name","test_suite"
2024-02-09 09:44:57,0,4255,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1593,6.86,0.480,1.25,1.56,2.13,66.4,67.4,4255,851,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,ConstPhace,test_http_api,gitter.io
2024-02-09 09:44:57,0,4248,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1599,6.65,0.450,1.22,1.55,2.12,2.98,70.6,4248,850,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,EndPhace,test_http_api,gitter.io
2024-02-09 09:44:57,0,8503,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1320,3.18,0.0900,0.200,0.480,0.800,1.49,42.1,8503,1701,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,Get balance,test_http_api,gitter.io
2024-02-09 09:44:57,0,4260,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1600,7.51,0.510,1.29,1.61,2.20,122,74.1,4260,852,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,InitPhace,test_http_api,gitter.io
2024-02-09 09:44:57,0,4260,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1317,3.05,0.110,0.220,0.510,0.830,58.4,35.5,4260,852,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,Find balance,test_http_api,gitter.io
2024-02-09 09:44:57,0,12758,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1324,3.87,0.320,0.900,1.19,1.71,2.53,43.8,12758,2552,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,Reserve balance,test_http_api,gitter.io
2024-02-09 09:44:57,0,4260,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2693,21.0,1.85,3.84,4.38,5.32,386,174,4260,852,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,global information,test_http_api,gitter.io
2024-02-09 09:45:02,0,77797,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,4.56,0.950,0.300,0.890,1.18,1.65,2.03,0.380,77797,15559,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,Reserve balance,test_http_api,gitter.io
2024-02-09 09:45:02,0,25932,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,8.49,3.85,1.61,3.80,4.34,5.21,5.87,0.770,25932,5186,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,global information,test_http_api,gitter.io
2024-02-09 09:45:02,0,25932,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.78,1.27,0.410,1.22,1.54,2.06,2.51,0.440,25932,5186,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,EndPhace,test_http_api,gitter.io
2024-02-09 09:45:02,0,25931,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.53,1.27,0.410,1.22,1.53,2.07,2.50,0.440,25931,5186,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,ConstPhace,test_http_api,gitter.io
2024-02-09 09:45:02,0,25932,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.94,0.350,0.100,0.220,0.500,0.790,1.05,0.230,25932,5186,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,Find balance,test_http_api,gitter.io
2024-02-09 09:45:02,0,51863,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.90,0.320,0.0800,0.200,0.480,0.760,1.02,0.230,51863,10373,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,Get balance,test_http_api,gitter.io
2024-02-09 09:45:02,0,25932,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,5.13,1.31,0.450,1.27,1.59,2.11,2.56,0.440,25932,5186,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,InitPhace,test_http_api,gitter.io
2024-02-09 09:45:07,0,52117,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.71,0.320,0.0800,0.190,0.470,0.760,1.02,0.230,52117,10423,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,Get balance,test_http_api,gitter.io
2024-02-09 09:45:07,0,26059,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,5.17,1.31,0.470,1.26,1.58,2.12,2.56,0.450,26059,5212,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,InitPhace,test_http_api,gitter.io
2024-02-09 09:45:07,0,26059,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,8.55,3.84,1.69,3.78,4.32,5.19,5.86,0.770,26059,5212,load,2024-02-09_06.44.84_session_32eb8dbf,20,,,global information,test_http_api,gitter.io
