"Time","all.datatransfer.all","all.request.count","cluster.node_count","cluster.node_cpu_count","current_operation","environment","fail.datatransfer.all","fail.datatransfer.max","fail.datatransfer.mean","fail.datatransfer.min","fail.datatransfer.percent50","fail.datatransfer.percent75","fail.datatransfer.percent95","fail.datatransfer.percent99","fail.latency.max","fail.latency.mean","fail.latency.min","fail.latency.percent50","fail.latency.percent75","fail.latency.percent95","fail.latency.percent99","fail.latency.stddev","fail.request.count","fail.request.rps","latency_count.less_or_eq_800","latency_count.more_800_less_1200","latency_count.more_or_eq_1200","node_type","ok.datatransfer.all","ok.datatransfer.max","ok.datatransfer.mean","ok.datatransfer.min","ok.datatransfer.percent50","ok.datatransfer.percent75","ok.datatransfer.percent95","ok.datatransfer.percent99","ok.latency.max","ok.latency.mean","ok.latency.min","ok.latency.percent50","ok.latency.percent75","ok.latency.percent95","ok.latency.percent99","ok.latency.stddev","ok.request.count","ok.request.rps","scenario","session_id","simulation.value","status_code.count","status_code.status","step","test_name","test_suite"
2024-02-06 15:52:22,0,3058,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,14.2,0.520,0.310,0.370,0.390,0.420,12.7,1.38,3058,612,load,2024-02-06_12.52.51_session_83018697,1,,,ConstPhace,test_http_api,gitter.io
2024-02-06 15:52:22,0,3058,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,19.2,0.520,0.300,0.370,0.390,0.410,12.3,1.39,3058,612,load,2024-02-06_12.52.51_session_83018697,1,,,EndPhace,test_http_api,gitter.io
2024-02-06 15:52:22,0,6116,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,12.5,0.190,0.0900,0.120,0.130,0.140,6.20,0.690,6116,1223,load,2024-02-06_12.52.51_session_83018697,1,,,Get balance,test_http_api,gitter.io
2024-02-06 15:52:22,0,3058,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,16.1,0.540,0.330,0.390,0.400,0.430,12.8,1.41,3058,612,load,2024-02-06_12.52.51_session_83018697,1,,,InitPhace,test_http_api,gitter.io
2024-02-06 15:52:22,0,3058,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,7.81,0.200,0.100,0.130,0.140,0.150,6.30,0.700,3058,612,load,2024-02-06_12.52.51_session_83018697,1,,,Find balance,test_http_api,gitter.io
2024-02-06 15:52:22,0,9174,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,11.7,0.320,0.200,0.250,0.260,0.280,6.34,0.700,9174,1835,load,2024-02-06_12.52.51_session_83018697,1,,,Reserve balance,test_http_api,gitter.io
2024-02-06 15:52:22,0,3058,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,45.7,1.58,0.970,1.14,1.18,1.25,38.3,4.15,3058,612,load,2024-02-06_12.52.51_session_83018697,1,,,global information,test_http_api,gitter.io
2024-02-06 15:52:27,0,13407,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,4.36,0.240,0.190,0.240,0.260,0.270,0.290,0.0400,13407,2681,load,2024-02-06_12.52.51_session_83018697,1,,,Reserve balance,test_http_api,gitter.io
2024-02-06 15:52:27,0,4470,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,5.19,1.12,0.960,1.12,1.16,1.20,1.24,0.0900,4470,894,load,2024-02-06_12.52.51_session_83018697,1,,,global information,test_http_api,gitter.io
2024-02-06 15:52:27,0,4469,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.32,0.360,0.300,0.360,0.380,0.400,0.410,0.0300,4469,894,load,2024-02-06_12.52.51_session_83018697,1,,,EndPhace,test_http_api,gitter.io
